problem,dimension,method,memory_size,iterations,f_evals,g_evals,f_final,norm_g_final,cpu_seconds,converged,n_skipped
rosenbrock_100,100,L-BFGS,1,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.008161306381225586,True,0
rosenbrock_100,100,L-BFGS,10,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.0,True,0
rosenbrock_100,100,L-BFGS,20,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.008246421813964844,True,0
rosenbrock_100,100,L-BFGS,40,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.0,True,0
rosenbrock_100,100,L-BFGS,60,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.008229494094848633,True,0
rosenbrock_100,100,L-BFGS,80,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.005404233932495117,True,0
rosenbrock_100,100,L-BFGS,100,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.003014087677001953,True,0
exponential,100,L-BFGS,1,10,24,11,-0.2055728089908377,4.6440388201673954e-09,0.0,True,2
exponential,100,L-BFGS,10,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0,True,2
exponential,100,L-BFGS,20,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.008117437362670898,True,2
exponential,100,L-BFGS,40,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0,True,2
exponential,100,L-BFGS,60,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0,True,2
exponential,100,L-BFGS,80,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.008147954940795898,True,2
exponential,100,L-BFGS,100,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0,True,2
