problem,dimension,method,memory_size,iterations,f_evals,g_evals,f_final,norm_g_final,cpu_seconds,converged,n_skipped
quad_10_10,10,L-BFGS,1,50,101,51,-24.70881606846056,3.190305692957196e-06,0.0700373649597168,True,0
quad_10_10,10,L-BFGS,3,34,69,35,-24.708816068541783,1.5376194000271681e-06,0.04335927963256836,True,0
quad_10_10,10,L-BFGS,5,31,63,32,-24.708816068518427,2.921802745525781e-06,0.040999650955200195,True,0
quad_10_10,10,L-BFGS,7,28,57,29,-24.708816068491927,2.9427091288170004e-06,0.03838777542114258,True,0
quad_10_10,10,L-BFGS,10,27,55,28,-24.70881606848686,3.1203752971498133e-06,0.03400397300720215,True,0
quad_10_10,10,L-BFGS,15,26,53,27,-24.708816068539683,2.057236487301717e-06,0.03796958923339844,True,0
quad_10_10,10,L-BFGS,20,26,53,27,-24.708816068554103,6.046735179232599e-07,0.03734326362609863,True,0
quad_10_1000,10,L-BFGS,1,1000,2001,1001,-673.6270167112957,0.001757236542942478,1.2600431442260742,False,0
quad_10_1000,10,L-BFGS,3,330,661,331,-673.6285228675663,6.22952398932064e-06,0.4426155090332031,True,0
quad_10_1000,10,L-BFGS,5,326,653,327,-673.6285228711914,7.959233730148174e-06,0.42318296432495117,True,0
quad_10_1000,10,L-BFGS,7,264,529,265,-673.6285228739342,8.187497465006466e-06,0.3442215919494629,True,0
quad_10_1000,10,L-BFGS,10,241,483,242,-673.6285228773307,7.115856353490102e-06,0.32205677032470703,True,0
quad_10_1000,10,L-BFGS,15,228,457,229,-673.6285228781636,6.400225353364597e-06,0.3317561149597168,True,0
quad_10_1000,10,L-BFGS,20,166,333,167,-673.6285228750623,8.25874811671845e-06,0.24318146705627441,True,0
quad_1000_10,1000,L-BFGS,1,59,119,60,-2014.967499061308,8.125635480249471e-06,5.973820447921753,True,0
quad_1000_10,1000,L-BFGS,3,36,73,37,-2014.9674990639442,7.077492266693852e-06,3.761274576187134,True,0
quad_1000_10,1000,L-BFGS,5,33,67,34,-2014.9674990626274,6.414845739488584e-06,3.379348039627075,True,0
quad_1000_10,1000,L-BFGS,7,31,63,32,-2014.967499060566,6.5765939413209296e-06,3.2084743976593018,True,0
quad_1000_10,1000,L-BFGS,10,31,63,32,-2014.967499060705,6.271034533100739e-06,3.082545280456543,True,0
quad_1000_10,1000,L-BFGS,15,31,63,32,-2014.9674990607168,5.8002674130364085e-06,3.08494234085083,True,0
quad_1000_10,1000,L-BFGS,20,31,63,32,-2014.9674990610463,5.609820240670693e-06,3.0924596786499023,True,0
quad_1000_1000,1000,L-BFGS,1,1000,2001,1001,-71445.9034438064,0.05784193001467752,96.54900002479553,False,0
quad_1000_1000,1000,L-BFGS,3,597,1195,598,-71463.4787800521,9.31124897718405e-06,58.24547815322876,True,0
quad_1000_1000,1000,L-BFGS,5,727,1455,728,-71463.47877969843,1.1904480441859988e-05,70.53721284866333,True,0
quad_1000_1000,1000,L-BFGS,7,732,1465,733,-71463.47877985654,1.308911417685632e-05,73.18081092834473,True,0
quad_1000_1000,1000,L-BFGS,10,402,805,403,-71463.47878008927,1.0546854009141349e-05,38.54357624053955,True,0
quad_1000_1000,1000,L-BFGS,15,364,729,365,-71463.47878006723,1.1830887270372625e-05,34.66190528869629,True,0
quad_1000_1000,1000,L-BFGS,20,398,797,399,-71463.47878000313,1.2105735992529176e-05,38.316829204559326,True,0
quartic_1,4,L-BFGS,1,3,7,4,2.8598254646789637e-25,5.137832670973948e-13,0.0,True,0
quartic_1,4,L-BFGS,3,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0,True,0
quartic_1,4,L-BFGS,5,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0010097026824951172,True,0
quartic_1,4,L-BFGS,7,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0,True,0
quartic_1,4,L-BFGS,10,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0,True,0
quartic_1,4,L-BFGS,15,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0,True,0
quartic_1,4,L-BFGS,20,3,7,4,1.3153896184396215e-19,4.2171692217369416e-10,0.0010335445404052734,True,0
quartic_2,4,L-BFGS,1,11,167,12,0.00028134735177141033,0.07635819552607734,0.0019991397857666016,True,0
quartic_2,4,L-BFGS,3,11,165,12,0.0012003299017177124,0.3032275494473833,0.002002239227294922,True,0
quartic_2,4,L-BFGS,5,18,153,19,0.0008326104981759991,0.22522751966381602,0.0029997825622558594,True,0
quartic_2,4,L-BFGS,7,19,141,20,0.0014015440138305485,0.22162813172280438,0.002996206283569336,True,0
quartic_2,4,L-BFGS,10,22,139,23,0.0006776529815821279,0.12575365172645334,0.0031206607818603516,True,0
quartic_2,4,L-BFGS,15,23,133,24,0.0016319846012858236,0.2871097920746229,0.003997802734375,True,0
quartic_2,4,L-BFGS,20,23,117,24,0.0019728027968804115,0.2981041786741327,0.002999544143676758,True,0
rosenbrock_2,2,L-BFGS,1,40,390,41,3.474889344933485e-11,0.00010031536523482594,0.0030035972595214844,True,0
rosenbrock_2,2,L-BFGS,3,27,91,28,6.85964105645647e-18,1.0451671795655849e-07,0.0009961128234863281,True,0
rosenbrock_2,2,L-BFGS,5,34,98,35,2.2001598226886517e-11,0.00018460597836356574,0.0030040740966796875,True,0
rosenbrock_2,2,L-BFGS,7,34,89,35,2.0877483386740255e-14,5.18499262690987e-06,0.0032901763916015625,True,0
rosenbrock_2,2,L-BFGS,10,32,84,33,6.002999317768509e-12,7.263481354507608e-05,0.0030105113983154297,True,0
rosenbrock_2,2,L-BFGS,15,33,86,34,1.8674776373518418e-13,9.717557407114257e-06,0.0030236244201660156,True,0
rosenbrock_2,2,L-BFGS,20,33,86,34,1.866037528202809e-13,9.716910601720733e-06,0.0059664249420166016,True,0
rosenbrock_100,100,L-BFGS,1,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.0029976367950439453,True,0
rosenbrock_100,100,L-BFGS,3,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.003000497817993164,True,0
rosenbrock_100,100,L-BFGS,5,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.003179311752319336,True,0
rosenbrock_100,100,L-BFGS,7,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.0030488967895507812,True,0
rosenbrock_100,100,L-BFGS,10,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.0029540061950683594,True,0
rosenbrock_100,100,L-BFGS,15,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.003000497817993164,True,0
rosenbrock_100,100,L-BFGS,20,7,24,8,3.9899748106028396,1.5533861530414583e-07,0.002995014190673828,True,0
datafit_2,2,L-BFGS,1,26,140,27,3.450792851297187e-11,2.078172517613815e-05,0.0021545886993408203,True,0
datafit_2,2,L-BFGS,3,15,41,16,4.964863701583551e-12,1.4837917309561642e-05,0.0009975433349609375,True,0
datafit_2,2,L-BFGS,5,14,37,15,3.3509819656265176e-11,2.2022058788030918e-05,0.0009999275207519531,True,0
datafit_2,2,L-BFGS,7,14,37,15,5.28806859467495e-13,3.5833156642622458e-06,0.0009999275207519531,True,0
datafit_2,2,L-BFGS,10,15,39,16,7.194303091754664e-15,3.2765730701876277e-07,0.002115488052368164,True,0
datafit_2,2,L-BFGS,15,14,37,15,3.802134375643066e-12,1.840624230312247e-05,0.0009975433349609375,True,0
datafit_2,2,L-BFGS,20,14,37,15,3.802134375643066e-12,1.840624230312247e-05,0.0009987354278564453,True,0
exponential_10,10,L-BFGS,1,20,43,21,-0.20557280890111063,1.932217746913878e-07,0.0009984970092773438,True,1
exponential_10,10,L-BFGS,3,21,45,22,-0.2055728089517154,5.938009530193078e-07,0.0020008087158203125,True,1
exponential_10,10,L-BFGS,5,20,43,21,-0.20557280888694177,1.1162794529839815e-06,0.00099945068359375,True,1
exponential_10,10,L-BFGS,7,22,47,23,-0.20557280888768054,1.610559120179822e-06,0.0021097660064697266,True,1
exponential_10,10,L-BFGS,10,23,49,24,-0.20557280891959548,7.211897768977238e-07,0.001998424530029297,True,1
exponential_10,10,L-BFGS,15,19,41,20,-0.20557280538719064,3.133879759420477e-06,0.0030002593994140625,True,1
exponential_10,10,L-BFGS,20,19,41,20,-0.20557280538699588,3.1365970164509704e-06,0.0020041465759277344,True,1
exponential_100,100,L-BFGS,1,10,24,11,-0.2055728089908377,4.6440388201673954e-09,0.0019974708557128906,True,2
exponential_100,100,L-BFGS,3,10,24,11,-0.20557280899083777,4.644038931189698e-09,0.0009989738464355469,True,2
exponential_100,100,L-BFGS,5,10,24,11,-0.2055728089908377,4.64404037447963e-09,0.0019991397857666016,True,2
exponential_100,100,L-BFGS,7,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0010020732879638672,True,2
exponential_100,100,L-BFGS,10,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.001997709274291992,True,2
exponential_100,100,L-BFGS,15,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0010001659393310547,True,2
exponential_100,100,L-BFGS,20,10,24,11,-0.20557280899083766,4.644020501487489e-09,0.0019998550415039062,True,2
genhumps_5,5,L-BFGS,1,55,131,56,7.934005128005078e-08,8.609879434486572e-05,0.007096529006958008,True,3
genhumps_5,5,L-BFGS,3,39,102,40,6.645389514820449e-08,8.79876529214001e-05,0.004125118255615234,True,2
genhumps_5,5,L-BFGS,5,34,83,35,7.925326707159437e-08,7.307704675905449e-05,0.003998994827270508,True,1
genhumps_5,5,L-BFGS,7,52,147,53,1.757426118776925e-08,6.392163834057311e-05,0.0070040225982666016,True,1
genhumps_5,5,L-BFGS,10,53,140,54,4.048445335709042e-09,1.6406909030449806e-05,0.0069959163665771484,True,3
genhumps_5,5,L-BFGS,15,53,136,54,1.976381023295358e-08,4.144279224981283e-05,0.010120391845703125,True,0
genhumps_5,5,L-BFGS,20,61,164,62,8.36673200497145e-09,2.8778882952854905e-05,0.012104034423828125,True,1
