problem,method,iterations,f_evals,grad_evals,cpu_seconds,convergence
quad_10_10,"GradientDescent,",105,211,106,0.24062561988830566,True
quad_10_10,GradientDescentW,105,422,317,0.32906484603881836,True
quad_10_10,Newton,1,425,319,0.005005836486816406,True
quad_10_10,NewtonW,1,428,322,0.009006738662719727,True
quad_10_10,TRNewtonCG,5,439,328,0.016008377075195312,True
quad_10_10,TRSR1CG,5,445,334,0.007510662078857422,True
quad_10_10,BFGS,26,498,361,0.07000970840454102,True
quad_10_10,BFGSW,26,551,414,0.07353949546813965,True
quad_10_10,DFP,223,998,638,0.4205307960510254,True
quad_10_10,DFPW,223,1445,1085,0.4211869239807129,True
quad_10_1000,"GradientDescent,",1000,2001,1001,1.3897392749786377,False
quad_10_1000,GradientDescentW,1000,5196,3201,2.468043565750122,False
quad_10_1000,Newton,1,5199,3203,0.0030393600463867188,True
quad_10_1000,NewtonW,1,5202,3206,0.0030002593994140625,True
quad_10_1000,TRNewtonCG,14,5231,3221,0.03196573257446289,True
quad_10_1000,TRSR1CG,14,5246,3236,0.018648147583007812,True
quad_10_1000,BFGS,56,5359,3293,0.07813286781311035,True
quad_10_1000,BFGSW,56,5472,3406,0.11753439903259277,True
quad_10_1000,DFP,1000,7473,4407,1.3964214324951172,False
quad_10_1000,DFPW,1000,9474,6408,1.870356798171997,False
quad_1000_10,"GradientDescent,",116,233,117,12.699300050735474,True
quad_1000_10,GradientDescentW,116,466,350,17.0345938205719,True
quad_1000_10,Newton,1,469,352,0.2959730625152588,True
quad_1000_10,NewtonW,1,472,355,0.32487964630126953,True
quad_1000_10,TRNewtonCG,9,491,365,1.7139148712158203,True
quad_1000_10,TRSR1CG,9,501,375,1.2593214511871338,True
quad_1000_10,BFGS,31,564,407,6.146467685699463,True
quad_1000_10,BFGSW,31,627,470,7.038593053817749,True
quad_1000_10,DFP,370,1368,841,73.93383455276489,True
quad_1000_10,DFPW,370,2109,1582,89.33739161491394,True
quad_1000_1000,"GradientDescent,",1000,2001,1001,116.6301805973053,False
quad_1000_1000,GradientDescentW,1000,5184,3199,201.01295137405396,False
quad_1000_1000,Newton,1,5187,3201,0.2823963165283203,True
quad_1000_1000,NewtonW,1,5190,3204,0.31088757514953613,True
quad_1000_1000,TRNewtonCG,103,5397,3308,18.64622163772583,True
quad_1000_1000,TRSR1CG,103,5501,3412,11.511148691177368,True
quad_1000_1000,BFGS,352,6206,3765,65.55070614814758,True
quad_1000_1000,BFGSW,352,6911,4470,79.03030395507812,True
quad_1000_1000,DFP,1000,8912,5471,165.91200017929077,False
quad_1000_1000,DFPW,1000,10913,7472,196.27381205558777,False
quartic_1,"GradientDescent,",2,5,3,0.0,True
quartic_1,GradientDescentW,2,10,8,0.0010285377502441406,True
quartic_1,Newton,2,15,11,0.0,True
quartic_1,NewtonW,2,20,16,0.0,True
quartic_1,TRNewtonCG,3,27,20,0.0010035037994384766,True
quartic_1,TRSR1CG,4,32,25,0.0,True
quartic_1,BFGS,3,39,29,0.0,True
quartic_1,BFGSW,3,46,36,0.0010018348693847656,True
quartic_1,DFP,3,53,40,0.0,True
quartic_1,DFPW,3,60,47,0.0,True
quartic_2,"GradientDescent,",6,94,7,0.0010061264038085938,True
quartic_2,GradientDescentW,6,188,20,0.000997304916381836,True
quartic_2,Newton,38,265,59,0.005002260208129883,True
quartic_2,NewtonW,38,342,136,0.00703883171081543,True
quartic_2,TRNewtonCG,38,419,175,0.006559610366821289,True
quartic_2,TRSR1CG,17,437,193,0.001997232437133789,True
quartic_2,BFGS,24,548,218,0.003000497817993164,True
quartic_2,BFGSW,24,659,267,0.002998828887939453,True
quartic_2,DFP,32,860,300,0.004000186920166016,True
quartic_2,DFPW,1000,3014,2298,0.08100700378417969,False
rosenbrock_2,"GradientDescent,",1000,10834,1001,0.0651693344116211,False
rosenbrock_2,GradientDescentW,1000,21717,3003,0.07343888282775879,False
rosenbrock_2,Newton,20,21765,3024,0.001039743423461914,True
rosenbrock_2,NewtonW,20,21813,3065,0.002003192901611328,True
rosenbrock_2,TRNewtonCG,30,21863,3085,0.0019989013671875,True
rosenbrock_2,TRSR1CG,94,21958,3139,0.004998683929443359,True
rosenbrock_2,BFGS,33,22044,3173,0.0019655227661132812,True
rosenbrock_2,BFGSW,33,22130,3240,0.0020368099212646484,True
rosenbrock_2,DFP,23,22210,3264,0.001996755599975586,True
rosenbrock_2,DFPW,22,22289,3310,0.0009996891021728516,True
rosenbrock_100,"GradientDescent,",26,279,27,0.02465987205505371,True
rosenbrock_100,GradientDescentW,28,584,85,0.02951192855834961,True
rosenbrock_100,Newton,46,683,132,0.031603097915649414,True
rosenbrock_100,NewtonW,46,782,225,0.0415339469909668,True
rosenbrock_100,TRNewtonCG,1000,1857,300,0.20703482627868652,False
rosenbrock_100,TRSR1CG,1000,2858,312,0.1420729160308838,False
rosenbrock_100,BFGS,7,2882,320,0.005877494812011719,True
rosenbrock_100,BFGSW,7,2906,335,0.006204128265380859,True
rosenbrock_100,DFP,1000,14429,1336,1.4114949703216553,False
rosenbrock_100,DFPW,1000,41199,9127,3.5378100872039795,False
datafit_2,"GradientDescent,",530,3438,531,0.03462648391723633,True
datafit_2,GradientDescentW,530,6876,1592,0.04800009727478027,True
datafit_2,Newton,6,6889,1599,0.0010051727294921875,True
datafit_2,NewtonW,6,6902,1612,0.0009949207305908203,True
datafit_2,TRNewtonCG,7,6917,1620,0.0009882450103759766,True
datafit_2,TRSR1CG,27,6945,1637,0.0010120868682861328,True
datafit_2,BFGS,14,6982,1652,0.0010023117065429688,True
datafit_2,BFGSW,14,7019,1681,0.001967191696166992,True
datafit_2,DFP,79,7228,1761,0.005029916763305664,True
datafit_2,DFPW,60,7400,1882,0.004039287567138672,True
exponential_10,"GradientDescent,",27,69,28,0.0010423660278320312,True
exponential_10,GradientDescentW,27,138,83,0.0009984970092773438,True
exponential_10,Newton,13,182,97,0.016588687896728516,True
exponential_10,NewtonW,13,226,124,0.001979827880859375,True
exponential_10,TRNewtonCG,13,253,138,0.001983165740966797,True
exponential_10,TRSR1CG,16,270,154,0.002039670944213867,True
exponential_10,BFGS,19,311,174,0.0009965896606445312,True
exponential_10,BFGSW,20,362,216,0.002015352249145508,True
exponential_10,DFP,1000,36300,1217,0.3805861473083496,False
exponential_10,DFPW,1000,65252,2220,0.33020567893981934,False
exponential_100,"GradientDescent,",21,45,22,0.0020046234130859375,True
exponential_100,GradientDescentW,17,89,58,0.0030002593994140625,True
exponential_100,Newton,13,133,72,0.004000425338745117,True
exponential_100,NewtonW,13,177,99,0.003999948501586914,True
exponential_100,TRNewtonCG,14,206,114,0.003000020980834961,True
exponential_100,TRSR1CG,29,236,134,0.004999876022338867,True
exponential_100,BFGS,10,260,145,0.0050013065338134766,True
exponential_100,BFGSW,9,288,165,0.004999399185180664,True
exponential_100,DFP,1000,36058,1166,1.3591887950897217,False
exponential_100,DFPW,1000,64877,2174,1.0623295307159424,False
genhumps_5,"GradientDescent,",130,376,131,0.008001089096069336,True
genhumps_5,GradientDescentW,143,837,421,0.014525413513183594,True
genhumps_5,Newton,97,1052,519,0.023990869522094727,True
genhumps_5,NewtonW,40,1200,611,0.011995792388916016,True
genhumps_5,TRNewtonCG,83,1343,671,0.012000799179077148,True
genhumps_5,TRSR1CG,130,1474,751,0.019766569137573242,True
genhumps_5,BFGS,57,1613,809,0.006475210189819336,True
genhumps_5,BFGSW,46,1744,905,0.005639076232910156,True
genhumps_5,DFP,1000,37677,1906,0.5777096748352051,False
genhumps_5,DFPW,1000,66624,2909,0.4581022262573242,False
